step,Tx,Ty,Tz,Axy,Axz,Ayz,Ayx,Azx,Azy,Px,Py,Pz
21,0.3209624438235382,-0.002063872258671474,-0.002062798960562478,1.4379539721560168e-05,-2.185575539745165e-06,0.00022717392773238815,1.2273484868555898e-05,4.783319497406301e-05,7.889648445992116e-06,-7.003475885848707e-07,-9.373625990712757e-06,0.00026659772235815786
22,0.3248287344590281,-0.002135213361481838,-0.0021343210081040016,1.1339472107764204e-05,-1.3031124680992288e-06,0.00023069682501120582,1.2639351758987693e-05,4.978027321287793e-05,8.002613430393804e-06,-7.696837753863942e-07,-9.419372180275494e-06,0.00026831410389612203
23,0.3271254650820294,-0.0022254802901096305,-0.0022247435458282957,8.974439943165686e-06,-5.795948590132994e-07,0.00023391157891971344,1.308036903313034e-05,5.205395537338411e-05,8.110933307453313e-06,-8.350008900921848e-07,-9.484448218442843e-06,0.00027063215879239295
24,0.3284823711128258,-0.0023175748640155637,-0.0023169697984472344,7.119455767092149e-06,1.0653154911397458e-08,0.00023695310547347425,1.3574795277486956e-05,5.4584126869924205e-05,8.215981251753974e-06,-8.984791121205158e-07,-9.563041347387892e-06,0.00027330943964541465
25,0.32928181495219966,-0.002402997775556808,-0.002402503106752317,5.657493324064918e-06,4.90327752906525e-07,0.00023990107891400667,1.4109952582852188e-05,5.7331176598377656e-05,8.319026116203807e-06,-9.617816983741355e-07,-9.651214015837285e-06,0.00027620947643494675
26,0.3297523363331439,-0.002478254315847486,-0.002477851715984805,4.50224599146164e-06,8.791531008930853e-07,0.00024280389789981414,1.4678528679747542e-05,6.0274124384512136e-05,8.421004234619477e-06,-1.0260765019291263e-06,-9.746363984889303e-06,0.00027925371443033274
27,0.33002932110605554,-0.0025425453037047725,-0.002542219267910639,3.5882410521822883e-06,1.1940126373009355e-06,0.0002456911743855496,1.527642141797537e-05,6.34035012901135e-05,8.522564991780936e-06,-1.0921711512334604e-06,-9.846772756119971e-06,0.0002823966379699319
28,0.3301925697019723,-0.002596408022211418,-0.002596145564899016,2.864878256362456e-06,1.4491431714362665e-06,0.0002485811008063359,1.5901462924818886e-05,6.671704803516273e-05,8.62415200794462e-06,-1.1606413466139784e-06,-9.951296389630294e-06,0.00028561191926766634
29,0.3302889910916191,-0.0026409584052510195,-0.0026407487125447698,2.2925980961862292e-06,1.656383413597568e-06,0.0002514849380190404,1.6552656581435248e-05,7.02171052824975e-05,8.726070474501845e-06,-1.2319243099168384e-06,-1.0059163922011656e-05,0.0002888844459721905
30,0.3303461233368472,-0.002677488061889106,-0.0026773221573915514,1.8402604142825939e-06,1.8254586389245634e-06,0.0002544097496768584,1.722971763987236e-05,7.390902893783938e-05,8.828534559379317e-06,-1.3063797334835457e-06,-1.0169848035475271e-05,0.00029220567133207904
31,0.3303801260526565,-0.0027072624444228807,-0.00270713289039958,1.4832564049352462e-06,1.964276894358685e-06,0.00025736005885384675,1.793279546222891e-05,7.780023029945192e-05,8.93169869194843e-06,-1.3843272303311955e-06,-1.0282982441565315e-05,0.0002955708888055185
32,0.3304004841185187,-0.0027314295868503848,-0.002731330226491795,1.2020970704577765e-06,2.0792153306614203e-06,0.00026033884744311176,1.866230507780732e-05,8.189959872505095e-05,9.03567765442326e-06,-1.46606853356316e-06,-1.0398308970848637e-05,0.0002989776323143973
33,0.3304127690542715,-0.002750987674276842,-0.002750913413561749,9.813314194897576e-07,2.1753823803125e-06,0.0002633481580547247,1.9418824771565165e-05,8.621715921627737e-05,9.140559392230923e-06,-1.5519003905242834e-06,-1.0515643416872492e-05,0.00030242473751819715
34,0.33042025798972735,-0.0027667825078237624,-0.002766729132795149,8.087044893909395e-07,2.2568484989124456e-06,0.0002663894568018315,2.0203033619628673e-05,9.076387470924872e-05,9.246413231644589e-06,-1.642122022564975e-06,-1.0634853209252737e-05,0.0003059117918247276
35,0.33042488227805883,-0.0027795189959671737,-0.0027794830205378294,6.744959801575831e-07,2.326843430272755e-06,0.00026946385263777517,2.1015673189667837e-05,9.55515378289902e-05,9.353295235647544e-06,-1.737039529137525e-06,-1.075584257859056e-05,0.0003094388130490727
36,0.3304277832468352,-0.0027897781774177542,-0.002789756716995411,5.709980072407945e-07,2.3879212780098268e-06,0.0002725722306741688,2.185752383216241e-05,0.00010059271825140364,9.461251775594822e-06,-1.8369686420938963e-06,-1.0878542508700188e-05,0.00031300606246442226
37,0.3304296378561727,-0.0027980353918864898,-0.0027980260586072743,4.92101497368046e-07,2.4420964543801843e-06,0.0002757153338456165,2.272938974456228e-05,0.00010590074492421414,9.570321979321902e-06,-1.9422366337821977e-06,-1.1002903787626479e-05,0.00031661393672538886
38,0.33043084962478936,-0.0028046774763080162,-0.0028046782922481967,4.329681144257803e-07,2.490954315642576e-06,0.00027889381345923487,2.3632089268305886e-05,0.00011148971044360683,9.680539458743261e-06,-2.053183823800305e-06,-1.1128892098519606e-05,0.00032026290596868113
39,0.3304316606576818,-0.0028100180844286885,-0.0028100274097247226,3.8976982779268613e-07,2.535740389742992e-06,0.00028210826090827994,2.4566448261411563e-05,0.00011737448982603784,9.791933563077475e-06,-2.1701649223247863e-06,-1.1256484480036645e-05,0.00032395347885189887
40,0.33043221745750995,-0.0028143108667726497,-0.0028143273400795168,3.594821103283306e-07,2.5774318472534387e-06,0.00028535922790289854,2.5533295229869534e-05,0.00012357076895287347,9.90453031098889e-06,-2.293550331126331e-06,-1.1385666725970855e-05,0.0003276861832249813
41,0.3304326096496663,-0.002817760565806999,-0.002817783054955194,3.3971971261300223e-07,2.6167944490766283e-06,0.0002886472396353163,2.6533457411340377e-05,0.0001300950798353013,1.0018353097829951e-05,-2.423727461058351e-06,-1.1516431443633537e-05,0.0003314615558044311
42,0.3304328928203215,-0.002820532224045901,-0.002820559785120847,3.286062604524813e-07,2.654427737992562e-06,0.00029197280354477964,2.7567757314570692e-05,0.00013696484099756168,1.0133423240555385e-05,-2.5611020916974977e-06,-1.1648776584155378e-05,0.00033528013697463435
43,0.3304331020260366,-0.002822758752912096,-0.0028227905962836942,3.246707305773631e-07,2.6908007868892214e-06,0.0002953364153004814,2.8637009405677033e-05,0.00014419840198648845,1.0249760402437847e-05,-2.7060997835629618e-06,-1.178270431746617e-05,0.0003391424684606597
44,0.3304332598177747,-0.0028245471130286643,-0.0028245825751112594,3.267652881269126e-07,2.726280405473339e-06,0.00029873856299429777,2.9742016745811922e-05,0.0001518150914536684,1.0367382926133586e-05,-2.859167346201443e-06,-1.1918220163819786e-05,0.0003430490925676826
45,0.33043338103254555,-0.0028259833372803363,-0.0028260218570125787,3.340001027828753e-07,2.761153350993036e-06,0.00030217973015640135,3.088356745303928e-05,0.00015983526852879104,1.0486308096144232e-05,-3.0207743636287405e-06,-1.205533231857709e-05,0.0003470005522400415
46,0.33043347567517606,-0.002827136599913899,-0.002827177699121055,3.4569166026476594e-07,2.7956437881891492e-06,0.00030566039797940374,3.206243090167858e-05,0.00016828037737264304,1.0606552345818543e-05,-3.191414778458132e-06,-1.2194051124567798e-05,0.00035099739151728964
47,0.3304335506674738,-0.002828062505116573,-0.002828105772060899,3.61321800969468e-07,2.8299269950064756e-06,0.0003091810469967753,3.3279353596248226e-05,0.00017717300490546406,1.0728131420218473e-05,-3.3716085370741916e-06,-1.2334388658318629e-05,0.0003550401561536846
48,0.33043361092244317,-0.002828805740313497,-0.0028288508158562345,3.8050528643652924e-07,2.8641401081103333e-06,0.0003127421583758082,3.453505467053955e-05,0.00018653694177559206,1.0851060503999848e-05,-3.561903299241353e-06,-1.2476358404439899e-05,0.0003591293942760289
49,0.33043366001369673,-0.002829402214308017,-0.0028294487802037046,4.0296414634245066e-07,2.8983905382038476e-06,0.00031634421493156276,3.583022096974686e-05,0.0001963972466790283,1.0975354321059554e-05,-3.7628762165038848e-06,-1.2619974998883022e-05,0.0003632656570168217
50,0.33043370060004834,-0.0028298807787742763,-0.002829928547698489,4.285074180309196e-07,2.9327625539029906e-06,0.00031998770193483923,3.7165501676723995e-05,0.00020678031417234097,1.1101027211371336e-05,-3.975135785079954e-06,-1.2765254026143145e-05,0.0003674494990939833
51,0.3304337347004589,-0.0028302646134110675,-0.002830313320388266,4.570151765197847e-07,2.9673224277313893e-06,0.00032367310776496423,3.85415024446512e-05,0.0002177139461444022,1.1228093189392853e-05,-4.199323778993812e-06,-1.2912211858807284e-05,0.0003716814793275696
52,0.33043376387628065,-0.0028305723399554973,-0.00283062173490816,4.884259799126586e-07,3.0021224544837866e-06,0.0003274009244439799,3.995877899765625e-05,0.00022922742713102763,1.1356565987455135e-05,-4.4361172704663034e-06,-1.306086553046678e-05,0.00037596216109368546
53,0.33043378935513895,-0.0028308189178317903,-0.0028308687590161284,5.227270355857284e-07,3.037204086254435e-06,0.00033117164807907066,4.1417830159597904e-05,0.00024135160367194034,1.1486459086930943e-05,-4.686230744480259e-06,-1.321123263470186e-05,0.0003802921127204792
54,0.3304338121173616,-0.0028310163640634742,-0.002831066412193336,5.599465359850309e-07,3.0726003758894483e-06,0.00033498577923344507,4.291909026899598e-05,0.00025411896792351544,1.1617785739158519e-05,-4.950418315096514e-06,-1.33633312448651e-05,0.0003846719078331301
55,0.3304338329578525,-0.0028311743318290067,-0.0028312243447190643,6.001477270435485e-07,3.1083378796272874e-06,0.00033884382324072745,4.4462920935588086e-05,0.000267563745754365,1.1750558978078272e-05,-5.229476051370633e-06,-1.3517179850061504e-05,0.0003891021256552506
56,0.33043385253148666,-0.002831300575357902,-0.002831350302941034,6.43424362441526e-07,3.1444381370507166e-06,0.0003427462904753333,4.6049602090875155e-05,0.0002817219895639303,1.188479162574616e-05,-5.52424442091062e-06,-1.367279730389898e-05,0.0003935833512734391
57,0.3304338713871811,-0.002831401323462882,-0.002831450503055799,6.898972693321586e-07,3.1809188209091404e-06,0.0003466936965877757,4.767932228192847e-05,0.000296631676077954,1.202049629201131e-05,-5.835610859389229e-06,-1.3830202783185402e-05,0.00039811617587147
58,0.33043388999400247,-0.0028314815796449664,-0.0028315299313511574,7.397118080751899e-07,3.2177946294369663e-06,0.0003506865627123415,4.935216815422443e-05,0.00031233280938845255,1.215768536890603e-05,-6.164512474806557e-06,-1.3989415754623102e-05,0.0004027011969398715
59,0.33043390876155776,-0.002831545363195962,-0.002831592585346914,7.930360541482574e-07,3.255077977770392e-06,0.000354725415653578,5.106811306542155e-05,0.00032886752952065594,1.2296371020674045e-05,-6.511938895354041e-06,-1.4150455947420185e-05,0.0004073390184651276
60,0.3304339280562069,-0.00283159590289458,-0.0028316416674390842,8.500595666512439e-07,3.2927795328989886e-06,0.00035881078805577395,5.282700476806956e-05,0.00034628022682407826,1.243656516982781e-05,-6.878935270173607e-06,-1.4313343330633966e-05,0.0004120302511031568
61,0.3304339482141819,-0.0028316357926167113,-0.002831679740374578,9.109926364700404e-07,3.330908626696012e-06,0.0003629432185599742,5.462855209499106e-05,0.00036461766250146436,1.2578279479382473e-05,-7.266605432723282e-06,-1.4478098094268544e-05,0.00041677551234009145
62,0.330433969552395,-0.002831667116350087,-0.002831708852050917,9.76065930146052e-07,3.369473574197013e-06,0.0003671232519514913,5.6472310576486774e-05,0.0003839290956054973,1.2721525332006409e-05,-7.676115236805625e-06,-1.4644740632817647e-05,0.0004215754266433031
63,0.3304339923775166,-0.002831691548632159,-0.0028317306356622023,1.0455304638622525e-06,3.4084819180125817e-06,0.0003713514393005225,5.835766691386892e-05,0.00040426641685138996,1.2866313805773228e-05,-8.108696075618114e-06,-1.4813291531031453e-05,0.0004264306256054535
64,0.3304340169937627,-0.0028317104352470804,-0.00283174639002818,1.119657856323527e-06,3.447940615451595e-06,0.0003756283380985715,6.02838222284471e-05,0.00042568428961151485,1.3012655646894924e-05,-8.565648594971805e-06,-1.4983771550956683e-05,0.0004313417480831288
65,0.33043404370973367,-0.0028317248580672382,-0.0028317571439911,1.1987408210965768e-06,3.487856181019103e-06,0.0003799545123921749,6.224977400001652e-05,0.0004482402984782732,1.3160561239483733e-05,-9.048346611985487e-06,-1.5156201619953518e-05,0.00043630944033221396
