step,stage,Ez_V_per_m,dmax_final,Tx,Ty,Tz,Axy,Axz,Ayz,Ayx,Azx,Azy,Px,Py,Pz,P_C_per_m2
10,Ez0_before,0.0,7.757336393521275e-06,0.3822300775540881,0.002863831754213943,0.0007549507896066956,0.15981701066155085,-0.011013288325143061,0.1608820254228029,0.0016679770316298127,0.23035508329025167,-0.00041844188205507587,-0.003232183254971476,0.0016899377143612844,0.13192307418070898,-0.23746153352527616
11,Ez0_before,0.0,7.584300515034448e-06,0.38223007182893326,0.002863834578947311,0.0007549511452699445,0.15981709699020055,-0.011013279428070927,0.16088212061532203,0.0016679788461754772,0.23035511151021854,-0.0004184402311846128,-0.0032321843496937513,0.0016899336275030007,0.13192317831238778,-0.237461720962298
12,Ez0_before,0.0,7.415162717364088e-06,0.38223006613317084,0.002863837389970279,0.000754951500001298,0.15981718290284158,-0.011013270574239299,0.16088221534761352,0.0016679806515781516,0.23035513959688686,-0.00041843858616237545,-0.0032321854393514426,0.0016899295583128705,0.13192328194070213,-0.23746190749326385
13,Ez0_before,0.0,7.249836569495072e-06,0.3822300604663065,0.0028638401873467096,0.0007549518537242389,0.1598172684011317,-0.011013261763421048,0.16088230962246675,0.0016679824479457917,0.23035516755020038,-0.00041843694724854144,-0.003232186523923604,0.0016899255069289293,0.13192338507074297,-0.23746209312733735
14,Ez0_before,0.0,7.088237493985128e-06,0.38223005482785233,0.0028638429711510924,0.0007549522063702646,0.15981735348707268,-0.011013252995357999,0.1608824034429831,0.0016679842353879994,0.2303551953702596,-0.00041843531467551176,-0.0032321876033968976,0.001689921473457204,0.13192348770777873,-0.23746227787400173
15,Ez0_before,0.0,6.93028273010543e-06,0.3822300492173268,0.002863845741467838,0.0007549525578780484,0.1598174381629835,-0.01101324426976344,0.1608824968125453,0.001667986014016009,0.23035522305731032,-0.00041843368864972075,-0.003232188677764992,0.0016899174579742457,0.13192358985722985,-0.23746246174301375
16,Ez0_before,0.0,6.775891297106096e-06,0.3822300436342536,0.0028638484983903416,0.0007549529081926703,0.15981752243147296,-0.011013235586324447,0.1608825897347898,0.0016679877839424545,0.23035525061173207,-0.0004184320693534485,-0.0032321897470280313,0.0016899134605294257,0.13192369148324218,-0.23746264466983594
17,Ez0_before,0.0,6.624982686193048e-06,0.3822300380788928,0.0028638512421404506,0.0007549532569509318,0.15981760629374697,-0.011013226944827953,0.16088268220112661,0.0016679895452401659,0.23035527803468847,-0.000418430456445497,-0.003232190811233128,0.0016899094814185386,0.13192379264884924,-0.23746282676792863
18,Ez0_before,0.0,6.47748026047501e-06,0.38223003255060806,0.0028638539724518512,0.0007549536045821997,0.15981768975090013,-0.011013218345230058,0.16088277422749092,0.001667991297868347,0.2303553053254526,-0.00041842885067190606,-0.003232191870324761,0.0016899055203792566,0.13192389334786914,-0.23746300802616446
19,Ez0_before,0.0,6.333308526659809e-06,0.38223002704865205,0.0028638566895512673,0.0007549539510015815,0.1598177728075634,-0.011013209786999278,0.16088286581863787,0.001667993042037913,0.23035533248472673,-0.0004184272521422999,-0.003232192924324748,0.0016899015773921963,0.13192399358376597,-0.23746318845077874
