step,Ez_V_per_m,Pz_mode_A,P_C_per_m2
248,1140000000.0,-0.3261886942312193,0.5871396496161948
249,1132500000.0,-0.32554507703263724,0.585981138658747
250,1125000000.0,-0.3249043011711423,0.5848277421080561
251,1117500000.0,-0.3242663254623263,0.5836793858321874
252,1110000000.0,-0.3236311017002848,0.5825359830605127
253,1102500000.0,-0.3229985810663239,0.581397445919383
254,1095000000.0,-0.3223778613311334,0.5802801503960401
255,1087500000.0,-0.32174320296684744,0.5791377653403255
256,1080000000.0,-0.32112608112589147,0.5780269460266046
257,1072500000.0,-0.3205053589814775,0.5769096461666595
258,1065000000.0,-0.3198858470866749,0.5757945247560148
259,1057500000.0,-0.319268505323288,0.5746833095819184
260,1050000000.0,-0.3186534975079187,0.5735762955142537
261,1042500000.0,-0.31804082372427367,0.5724734827036926
262,1035000000.0,-0.31743045105859063,0.5713748119054631
263,1027500000.0,-0.3168223404512325,0.5702802128122185
264,1020000000.0,-0.31621645216502875,0.5691896138970518
265,1012500000.0,-0.31562188406246255,0.5681193913124326
266,1005000000.0,-0.3150129622634372,0.567023332074187
267,997500000.0,-0.3144210829672811,0.565957949341106
268,990000000.0,-0.31382520545332454,0.5648853698159841
269,982500000.0,-0.313230081069449,0.5638141459250082
270,975000000.0,-0.3126366848822026,0.5627460327879646
271,967500000.0,-0.31204519473231357,0.5616813505181645
272,960000000.0,-0.31145562037829627,0.5606201166809333
273,952500000.0,-0.31086793666183316,0.5595622859912996
274,945000000.0,-0.3102821115420874,0.5585078007757573
275,937500000.0,-0.3096981119587088,0.5574566015256758
276,930000000.0,-0.3091159050429882,0.5564086290773788
277,922500000.0,-0.3085354583581318,0.5553638250446372
278,915000000.0,-0.3079567399381636,0.5543221318886945
279,907500000.0,-0.3073888200606233,0.5532998761091219
280,900000000.0,-0.30680616607177374,0.5522510989291928
281,892500000.0,-0.306240002521277,0.5512320045382986
282,885000000.0,-0.3056694454916014,0.5502050018848825
283,877500000.0,-0.3050991697508045,0.5491785055514481
284,870000000.0,-0.3045301616496124,0.5481542909693023
285,862500000.0,-0.3039626121602533,0.5471327018884559
286,855000000.0,-0.30339654014373,0.546113772258714
287,847500000.0,-0.3028319275932433,0.5450974696678379
288,840000000.0,-0.30226874886013505,0.5440837479482431
289,832500000.0,-0.30170697693879556,0.543072558489832
290,825000000.0,-0.30114658480708334,0.54206385265275
291,817500000.0,-0.3005875457053532,0.5410575822696357
292,810000000.0,-0.30002983318866183,0.5400536997395913
293,802500000.0,-0.29947342113082315,0.5390521580354817
294,795000000.0,-0.29891828371841833,0.538052910693153
295,787500000.0,-0.2983643954428466,0.5370559117971239
296,780000000.0,-0.2978117310921263,0.5360611159658273
297,772500000.0,-0.2972602657427977,0.5350684783370359
298,765000000.0,-0.29671903038305736,0.5340942546895032
299,757500000.0,-0.2961626680719288,0.5330928025294719
300,750000000.0,-0.29562218749911945,0.532119937498415
301,742500000.0,-0.29506779285792,0.531122027144256
302,735000000.0,-0.2945293577971345,0.5301528440348422
303,727500000.0,-0.2939861597266735,0.5291750875080123
304,720000000.0,-0.2934427130076198,0.5281968834137157
305,712500000.0,-0.29289999280953266,0.5272199870571588
306,705000000.0,-0.2923581977961924,0.5262447560331462
307,697500000.0,-0.2918173544676988,0.5252712380418578
308,690000000.0,-0.29127745137186944,0.5242994124693651
309,682500000.0,-0.2907384688334229,0.5233292439001612
310,675000000.0,-0.2902003855190268,0.5223606939342483
311,667500000.0,-0.28966317987981766,0.5213937237836718
312,660000000.0,-0.2891268304640058,0.5204282948352105
313,652500000.0,-0.28859131598091065,0.5194643687656392
314,645000000.0,-0.28805661531050497,0.518501907558909
315,637500000.0,-0.28752270750109493,0.5175408735019709
316,630000000.0,-0.28698957176447654,0.5165812291760578
317,622500000.0,-0.28645718747060994,0.5156229374470979
318,615000000.0,-0.285925534142249,0.5146659614560483
319,607500000.0,-0.28539459144962365,0.5137102646093226
320,600000000.0,-0.28486433920518844,0.5127558105693392
