step,Ez_V_per_m,Pz_mode_A,P_C_per_m2
57,427500000.0,0.0996001946877192,-0.17928035043789456
58,435000000.0,0.0989721047108224,-0.17814978847948035
59,442500000.0,0.09834418850785942,-0.17701953931414696
60,450000000.0,0.0977122062918239,-0.17588197132528302
61,457500000.0,0.09706788282268533,-0.1747221890808336
62,465000000.0,0.09642273867752466,-0.1735609296195444
63,472500000.0,0.0957654802851522,-0.17237786451327394
64,480000000.0,0.09510676354031578,-0.1711921743725684
65,487500000.0,0.09444205479126243,-0.16999569862427238
66,495000000.0,0.09376271420695034,-0.16877288557251063
67,502500000.0,0.09307318722497773,-0.16753173700495994
68,510000000.0,0.09238099486652035,-0.16628579075973662
69,517500000.0,0.09167352125717937,-0.16501233826292286
70,525000000.0,0.090953979427108,-0.1637171629687944
71,532500000.0,0.09022944450720402,-0.16241300011296725
72,540000000.0,0.08948689592631791,-0.16107641266737224
73,547500000.0,0.0887291553839126,-0.15971247969104269
74,555000000.0,0.08795588455622645,-0.15832059220120762
75,562500000.0,0.08716579405717606,-0.15689842930291692
76,570000000.0,0.08635716764641671,-0.15544290176355008
77,577500000.0,0.08552067815191614,-0.15393722067344906
78,585000000.0,0.08466636049615789,-0.1523994488930842
79,592500000.0,0.08377996253638058,-0.15080393256548505
80,600000000.0,0.08286210243768992,-0.14915178438784185
81,607500000.0,0.0819019796580078,-0.14742356338441404
82,615000000.0,0.08090653661065714,-0.14563176589918286
83,622500000.0,0.07984955030716892,-0.14372919055290406
84,630000000.0,0.07873027120856431,-0.14171448817541576
85,637500000.0,0.07752904150953374,-0.13955227471716075
86,645000000.0,0.07621502080005232,-0.1371870374400942
87,652500000.0,0.07474238751082403,-0.13453629751948326
88,660000000.0,0.073011939415564,-0.1314214909480152
89,667500000.0,0.07079095233182786,-0.12742371419729015
90,675000000.0,0.06448298154598234,-0.1160693667827682
91,682500000.0,-0.17795961049183473,0.32032729888530254
92,690000000.0,-0.17842516340016862,0.32116529412030353
93,697500000.0,-0.1789053702999372,0.32202966653988696
94,705000000.0,-0.17937472249397943,0.322874500489163
95,712500000.0,-0.17983668241584733,0.3237060283485252
96,720000000.0,-0.1803004935036071,0.3245408883064928
97,727500000.0,-0.18075559087808707,0.32536006358055675
98,735000000.0,-0.18121224306638137,0.3261820375194865
99,742500000.0,-0.18166808026563583,0.3270025444781445
100,750000000.0,-0.18212274986622098,0.3278209497591978
101,757500000.0,-0.18257620211387526,0.3286371638049755
102,765000000.0,-0.18302843204848906,0.3294511776872803
103,772500000.0,-0.18347944219968215,0.3302629959594279
104,780000000.0,-0.18392923641249034,0.3310726255424826
105,787500000.0,-0.18437781849035675,0.3318800732826422
106,795000000.0,-0.1848251932464291,0.3326853478435724
107,802500000.0,-0.18527136512871997,0.33348845723169596
108,810000000.0,-0.18571633897626083,0.3342894101572695
109,817500000.0,-0.1861601200744471,0.3350882161340048
110,825000000.0,-0.18660271342547166,0.335884884165849
111,832500000.0,-0.18704412459773032,0.3366794242759146
112,840000000.0,-0.18748435937340127,0.3374718468721223
113,847500000.0,-0.1879234232908218,0.33826216192347924
114,855000000.0,-0.18836132243505327,0.3390503803830959
115,862500000.0,-0.1887980630790032,0.3398365135422058
116,870000000.0,-0.18923365132004194,0.3406205723760755
